place,time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
CN1,2014/4/24,18.1,68,6.55,40.06,10.85,1.26,0.26,0.035,5.26,0.0468,0,0.021,0.005,0.025,0.005,0.0005,0,0.006,0.000002,0.000025,3.72,800
CN2,2014/4/24,18.2,72,6.6,27.79,34.35,1.16,1.04,0.055,7.53,0.0231,0,0.016,0.005,0.025,0.005,0.0005,0,0.008,0.0022,0.000025,2.08,1700
CN3,2014/4/24,18.1,40,7.5,42.04,25.8,0.6,1.04,0.26,7.08,0.0224,0,0.046,0.005,0.025,0.005,0.0005,0,0.014,0.0022,0.000025,2.48,2400
CN4,2014/4/24,18,65,6.62,42.89,10.75,0.8,1.06,0.32,6.25,0.0207,0,0.02,0.005,0.025,0.005,0.0005,0,0.013,0.0023,0.000025,3.08,2400
CN5,2014/4/24,18.1,67,6.68,58.88,14.95,1.04,0.92,0.022,6.14,0.0158,0,0.017,0.005,0.025,0.005,0.0005,0,0.011,0.0028,0.000025,2.9,500
CN6,2014/4/24,18.2,66,6.7,47.64,18.05,0.67,0.96,0.32,6.49,0.0185,0,0.24,0.005,0.025,0.005,0.0005,0,0.008,0.0022,0.000025,3.96,1300
CN1,2014/8/6,31.85,75,6.95,47.24,10.7,1.29,0.22,0.65,8.51,0.128,0,0.23,0.0017,0.0066,0.005,0.0005,0,0.008,0.0012379,0.000025,1.04,750
CN2,2014/8/6,32.06,90,7.2,43.99,7.2,1.2,0.81,0.62,8.28,0.136,0,0.24,0.00327,0.0043,0.005,0.0005,0,0.0085,0.0011238,0.000025,0.92,330
CN3,2014/8/6,31.92,60,7.63,62.48,3,0.69,0.81,0.76,12.7,0.15,0,0.27,0.00628,0.0152,0.005,0.0005,0,0.0034,0.0008879,0.000025,0.24,460
CN4,2014/8/6,32.1,45,7.47,71.48,13.8,0.9,0.82,0.72,11.66,0.14,0,0.263,0.00229,0.0012,0.005,0.0005,0,0.002,0.0010529,0.000025,0.68,790
CN5,2014/8/6,33.31,70,7.54,86.47,2.9,1.1,0.71,0.67,10.64,0.157,0,0.243,0.00302,0.0004,0.005,0.0005,0,0.0013,0.0009603,0.000025,0.47,700
CN6,2014/8/6,32.4,60,7.52,71.48,2.7,0.71,0.74,0.72,12.23,0.133,0,0.26,0.00486,0.0032,0.005,0.0005,0,0.0024,0.0007084,0.000025,71.12,1100
CN1,2014/10/29,19.1,50,7.12,49.485,9.88,1.32360368,0.24,0.22,8.5,0.117,0,0.252503784,0.005,0.0031,0.005,0.0005,0,0.0132999,0.001578625,0.000025,8.7567,800
CN2,2014/10/29,18.8,66,7.2,36.98853,6.8,1.204749472,0.77,0.81,8.015564202,0.114223288,0,0.287379625,0.00152,0.0031,0.005,0.0005,0,0.0156341,0.001929875,0.000025,9.333,900
CN3,2014/10/29,18.5,38,7.36,51.98388,33.55,1.123712512,0.8,0.81,12.14007782,0.095381127,0,0.277719124,0.00127,0.0087,0.005,0.0005,0,0.0739891,0.0019515,0.000025,10.6254,1000
CN4,2014/10/29,19.2,58,7.28,61.98078,7.35,1.05348048,0.81,0.82,11.28404669,0.110884574,0,0.25804984,0.00141,0.0069,0.005,0.0005,0,0.004,0.0021385,0.000025,9.1236,900
CN5,2014/10/29,18.2,66,7.22,56.98233,9.5,1.096700192,0.7,0.71,10.31906615,0.164934762,0,0.278886958,0.00132,0.0035,0.005,0.0005,0,0.0097986,0.0034595,0.000025,9.5424,950
CN6,2014/10/29,18.7,60,7.24,47.98512,13.7,0.718527712,0.73,0.74,11.64202335,0.104021232,0,0.23218967,0.00402,0.0092,0.005,0.0005,0,0.0074644,0.002336,0.000025,8.3542,830
CN1,2014/12/23,16.1,34,7.18,39.49,3.75,5.77,0.21,0.23,8.39,0.191,0,0.234,0.00191,0.0224,0.005,0.0005,0,0.0088,0.00531,0.000025,41.84,45
CN2,2014/12/23,15.7,38,7.24,34.489305,4.15,4.89952,0.41,0.81,8.18514947,0.197166537,0,0.252,0.00555,0.0088,0.005,0.0005,0,0.0075,0.0044055,0.000025,6.08,54
CN3,2014/12/23,15.9,42,7.21,45.485895,3.5,5.028032,0.94,0.75,12.18129219,0.151101272,0,0.263,0.04456,0.0724,0.005,0.0005,0,0.0096,0.00888325,0.000025,4.31,22
CN4,2014/12/23,16.2,29,7.22,43.486515,7.15,5.14048,0.57,0.8,11.19382835,0.17951521,0,0.242,0.05701,0.0612,0.005,0.0005,0,0.0086,0.0042005,0.000025,6.58,23
CN5,2014/12/23,16.1,41,7.23,65.479695,2.15,5.911552,0.07,0.75,10.91610415,0.25282514,0,0.27,0.00529,0.0107,0.005,0.0005,0,0.013,0.003284125,0.000025,3.27,46
CN6,2014/12/23,15.8,35,7.19,60.481245,2.5,5.6224,0.17,0.8,11.68756027,0.170359805,0,0.23,0.00515,0.0369,0.005,0.0005,0,0.0062,0.003353625,0.000025,9.22,40
